brand_or_brewery,drink_count,product_candidate_count,public_visible_count,distinct_product_names,sample_names
辉光,6,5,2,5,醉佳|白日梦|全场最佳|古龙水|白板
回头客,6,5,2,5,果味满满19号|果味满满|卡南代瓜优质拉格|新英格兰99号|德式皮尔森
撬啤酿造,6,6,6,6,内个周五十一点半有个哥们进来就吐两个小时，吐了四次吐得很准非常感谢|水库浪子 桔柚π|卡拉斯科|Naive|水库浪子|风戏水
僧侣,6,6,3,6,Kid Casino|笔触|洛城之花|依旧交通粘性|背包|雾窗
虽吾,6,5,3,5,小花冠|飞越云海|金狼之舞|日出茶山|果浪澳游
野鹅微醺,6,6,0,6,富贵榴|朝花三倍干头浑浊IPA|陈皮的旅行|南境之花NZ-105|无限螺旋|南境之花
本末·特伦,5,4,2,4,劫尽|业劫|历史学会|本劫
赤耳,5,5,2,5,黄米拉格|西瓜商店|阳光洒肩头|普通的一天|青芒果芭乐
另一半,5,5,3,5,番茄工厂|另一半12周年|速溶绿色|旋涡3号|小小4周年
矛盾体,5,5,1,5,亚特兰大出口|基数|法里纳|命令行编译|弧度
欧米尼珀罗,5,4,2,4,史蒂夫之斧|3乘3七号|笑脸|不二之选
虽吴,5,3,1,3,小花冠|凤尾果香|金狼之舞
野鹅,5,4,2,4,夜莺|无限螺旋|南境之花|桃林漫步
远山,5,4,1,4,瓦哈卡日出|阿尔派恩淡影|阿尔卑斯|布里斯班淡影
FEVER,5,1,1,5,搜魂者|金星的日落|谷仓铜|想象中的雨|谷仓金
半颠,4,4,2,4,余光未尽 皮尔森|暮光犹存|生龙活虎|伦敦啸叫
彼岸,4,4,1,4,老城琥珀|望梅止渴|夜曲|爱因斯坦的数数学成绩单
费登斯,4,4,2,4,精益求精|元素的艺术|海冬|桃桃农夫
疯熊工业,4,3,1,3,东分影|梦|像风
裂变酿造,4,4,1,4,星云甘露|Nebula Nectar|春季拉格|眩目
蔓延酿造,4,4,2,4,辛香农舍|辛青农舍|北地显影|立方
闪电萨拉玛,4,4,0,4,低档狂飙|头脑风暴|幻境拉拉|芭比之殇
生命长河,4,3,2,3,全视之眼|纪念日10|双重黑喵
无毛用,4,4,3,4,岁寒 柏木酒酸|岁寒|阿佳|空行母
云朴精酿,4,2,1,2,风暴中心 金桔芒果酸|今日与春风相会
百威,3,3,0,3,测试|测试2|测试99
凡人,3,3,1,3,飞履|配瑟芬|苍穹之神
风土,3,2,0,2,雪峰|第一个纪念日
风土酿造,3,3,2,3,岩上|第一个纪念日|布拉格金色愿望
风味屋,3,3,1,3,万万岁|长安|胡啊柚
火碳,3,2,3,2,少甜少冰|港式冻柠茶
酒花僵尸,3,3,1,3,僵尸猎鸭人|冰冰乐6号|墨西哥勇士
郡区,3,3,1,3,酒花倾慕 美式淡色艾尔|梦想Rêve Coffee Stout|梦想
狸造,3,2,3,2,玄骥|加州海风
美西,3,2,3,2,金雀花|玉米诱惑
葡月圣树,3,3,2,3,图尔帕|朝曦|禅宗科学家
浦江半岛,3,2,1,2,副本|月光
三子,3,3,2,3,维京征服|松脆博伊斯|海洋公园
善良胡夫,3,3,1,3,120美元2号|流连忘返3号|呆瓜再见
索拉里斯,3,3,1,3,永恒之注|永恒之涯|异岛
田园酿造,3,3,1,3,火把梨|水蜜桃|哈巴苹果
西澳山脊,3,3,3,3,混世魔王|松果天梯|鬼源物语
小荷,3,3,2,3,黑羽|蜜瓜龙2.0|蜜瓜龙
小熊贝莲,3,2,3,2,金标|拉格
鸭池,3,3,2,3,孤注一掷|黑暗之翼|奢华冰冻池塘
云泥,3,2,2,2,浮柚|翠屿
云朴,3,3,2,3,南半球漂流|融雪之前|风暴中心
云石,3,3,3,3,伯爵茶|曼彻斯特|此即大海
制乐厂,3,3,2,3,青年养老院|小青龙|归
Deadman,3,1,2,1,酒花大盗
Dr.Lab,3,3,1,3,一路发达4周年|Fredrick's Violin V26|DR 凉茶
2062&独墨,2,2,1,2,Nippori 日暮里|日暮里/Nippori
艾尔复兴*布鲁乔司,2,2,2,2,中古小丑|暗夜医者
艾薇儿,2,1,0,1,松弛
百得福,2,2,1,2,皮尔森生啤|窑臧皮尔森
班克斯,2,2,2,2,班克斯先生|西岸浮光
鼻行兽,2,2,2,2,凯库拉的鲸|燧石与板岩
比尔斯兄弟,2,2,2,2,勒克斯|为生活干杯
朝日,2,2,2,2,黑生|复活生啤
齿轮精酿,2,2,1,2,幸运鹅|怒饮酒花儿
分野酿造,2,2,1,2,绕了地球|沧龙
风险酿造,2,2,2,2,奇卡诺|蜜瓜梦
疯熊工业 / Crazy Bear Industry,2,2,0,2,啤酒实习生2603|东分影
佛里蒙,2,2,1,2,锈钉 2024|黑星波本
谷语者,2,1,0,1,突袭面包店
航标酿造,2,2,0,2,山野拾荒者|极光觅月
和弦,2,2,1,2,蓝莓快车 世涛|冰镇大西瓜绿茶
红男爵,2,1,0,1,杏杏点灯
洄游,2,2,1,2,幽澜|紫露
洄游造物,2,1,0,1,紫露
会饮,2,1,0,1,山麓
会饮酿造,2,2,1,2,食野之苹|涌现
或不凡,2,1,0,1,黄河之水
佳卡哈,2,1,0,1,阿罗哈POG西打
酒花民族,2,2,1,2,灰猎犬|大红蜂
酒花农场,2,1,1,1,山间酸
卡布拉多,2,1,0,1,西普西普
科隆巴赫,2,2,1,2,科墨堡皮尔森|科隆巴赫皮尔森
农舍山,2,2,2,2,弗洛伦萨|安娜
澎湃家族,2,2,1,2,树莓兰比克|樱桃兰比克
秦人造,2,2,1,2,西安Summer|柑橘起源
山丘,2,1,1,1,萨兹公爵
斯莫及,2,2,0,2,皮纳科达拉|芒果
虽吴酿造,2,2,0,2,小花冠 墨西哥拉格|小花冠
天使之翼,2,2,2,2,双倍拿撒勒|摩卡
未索之境,2,2,2,2,西西里橙|琥珀
稳态,2,2,0,2,螺旋|生化梦境
乌苏,2,2,0,2,乌苏威士忌风味|乌苏楼兰秘酿
犀首田园,2,2,1,2,送你一朵小红花|云边有座小卖部
香港啤酒公司,2,2,2,2,大浪湾|冷萃马赛克
想象中的雨,2,1,1,1,Fever
小回,2,2,1,2,爆裂引擎|电气涡轮
修订,2,2,0,2,三重未知|翡翠湾
以及,2,1,0,1,潮汐热吻
以及酿造,2,2,1,2,打个大西瓜|狗头枣
悠航,2,2,1,2,此刻是吾|猴拳
远山啤酒,2,2,1,2,云雾之峰|莱茵淡影
纸飞机,2,2,1,2,洋流上下 TDH帝国浑浊IPA|临界
左手巨人,2,2,2,2,双城记|自在跑
Guinness,2,2,2,2,世涛|健力士 Guinness
HES PER,2,2,2,2,松荫|夏沁
HESPER,2,1,1,1,夏沁
Liquid's Tag,2,1,1,1,从我的吧台滚出去
OOO:,2,2,0,2,Powder Hound无序双板滑雪|Sweep Broom Peel无序冰壶
Waldhaus,2,2,0,2,黑森林古法窖藏啤酒|黑森林金牌皮尔森啤酒
2062,1,1,0,1,阿温
阿彭策尔,1,1,1,1,水晶拉格（第五批）
艾尔复兴*HAAS,1,1,1,1,凌镜之外
艾根伯格,1,1,1,1,窑藏博克
艾英格,1,1,1,1,春季博克
巴伐利亚武僧,1,1,1,1,双料小麦博克
半吨,1,1,1,1,潮汕黄金
本末特伦,1,1,0,1,本劫
碧特博格,1,1,0,1,碧堡
勃艮第女公爵,1,1,1,1,橡木桶酸
布鲁瑞,1,1,1,1,安布拉纳闪耀
沉降酿造,1,1,1,1,你喝了没
诚实啤酒,1,1,0,1,浪裹
城市酿造,1,1,1,1,十月革命
齿轮酿造,1,1,1,1,爆榨苹果
赤耳*药厂,1,1,1,1,雨落松间
赤耳酿造,1,1,0,1,涌
打嗝海狸,1,1,1,1,海狸万岁
大九,1,1,0,1,降临
大米拉格,1,1,0,1,大米拉格
大师杯,1,1,1,1,拾伍
第三阶段,1,1,0,1,波兰皮尔森
独墨,1,1,0,1,芭适
仿猩会,1,1,0,1,爆猩饼
霏然,1,1,1,1,白玉
费尔岛,1,1,0,1,埃尔登
分野,1,1,0,1,柚子大米拉格
分野&谷语者,1,1,1,1,美洲豹
分野酿造 / Quadrant Brewing,1,1,0,1,饶了地球
分支,1,1,1,1,妲己
疯熊酿造,1,1,0,1,流动
隔壁老李,1,1,0,1,琥珀艾尔
锅炉,1,1,1,1,毒蛇之握
焊接工厂,1,1,0,1,双倍爆汁
航标,1,1,1,1,极光觅月
航标精酿,1,1,1,1,山野拾荒者
黑森林,1,1,1,1,古法窖藏
黑烟囱,1,1,1,1,文艺历史
蝴蝶结,1,1,0,1,米芯
花雅酿造,1,1,0,1,志气
花雅酿造 / HARMO BREW,1,1,1,1,实验款
坏骨头,1,1,1,1,事故报告
幻果实验,1,1,0,1,分形
幻果实验室,1,1,0,1,分形
洄游造物 / WayfarerLab,1,1,1,1,清涧
健力士,1,1,1,1,氮气世涛
涧溪,1,1,1,1,窑臧拉格
捷克维诺,1,1,1,1,炫猫
鲸一,1,1,1,1,云中翻滚
酒花名族,1,1,1,1,Fresh Hop
酒窖师,1,1,0,1,久别重逢
科慕堡,1,1,0,1,科慕堡皮尔森
麳麰,1,1,1,1,文财神
朗客,1,1,1,1,烟熏啤
裂变,1,1,1,1,西楚超临界
麻马麻,1,1,0,1,古盾
猫宁,1,1,0,1,玫红草莓
明日,1,1,1,1,Come back to 2016
酿造方程式,1,1,1,1,断肠草
酿造哲学,1,1,1,1,肖邦
牛皮堂,1,1,1,1,菠萝包
欧米尼珀罗 × 电厂,1,1,1,1,炼金术大师
欧米尼珀罗 × 僧侣,1,1,1,1,太空之旅
欧米尼珀罗x布鲁乔斯,1,1,1,1,异端礼拜堂
欧米尼珀罗X深酥,1,1,1,1,Steal This Beer
欧米尼珀罗X特伦,1,1,1,1,王座的呼唤
啤脑酿造 / Beer Head,1,1,0,1,银苹果
奇逸,1,1,1,1,香草的天空
气泡实验室,1,1,0,1,酒花伞兵
倾斜谷仓,1,1,0,1,天选之子
撒切尔,1,1,1,1,金苹果
塞拉多艾尔,1,1,0,1,豪华赛松
三宝乐,1,1,0,1,惠比寿全麦
三得利,1,1,0,1,万志
三子酿造,1,1,1,1,维京征服
叁酉,1,1,1,1,最佳状态
山乘,1,1,0,1,自然呼唤
山乘酿造,1,1,0,1,辅助奶两口
山雀 x Bob x ORIGIN4,1,1,1,1,海德公园
山雀 x Good Good,1,1,1,1,扭扭舞
山雀 x ORIGIN4,1,1,1,1,乳酸阈值
十八酿造,1,1,0,1,双倍跳东湖
拾捌精酿,1,1,0,1,布蓝泥 思慕雪果酒
拾伍,1,1,0,1,大师杯（十五周年限定）
双尾酿造 / Twin Tails,1,1,0,1,朦胧之吻
双尾酿造/Twin Tails,1,1,1,1,失重-鲜酒花
水猴子,1,1,1,1,胡椒蛮缠
斯莫吉,1,1,1,1,粉红夏日
酸羽,1,1,0,1,机械神明
酸羽酿造,1,1,1,1,原始恩赐
虽吾酿造,1,1,0,1,飞越云海
虽吾酿造 / SUIWU,1,1,0,1,凤尾果香
碎片,1,1,0,1,惊魂记
索拉里斯 × 北方公园,1,1,1,1,云端一线
特纳亚溪,1,1,0,1,胡夫水坝
头脑冷静,1,1,0,1,和平奏鸣曲
头脑冷静&敌意&凡人,1,1,0,1,计划四个秘密
蜕变,1,1,0,1,路特斯运行原理
旺达Wondrous•Raveyard,1,1,1,1,Raveyard
五岔街,1,1,1,1,皮尔森
勿幕酿造 / WUMU Brewery,1,1,0,1,冰川
小发发,1,1,1,1,溺海之柚
小回酿造,1,1,1,1,施坦格
小回酿造 / Turn Right Brewing,1,1,0,1,阿努尔夫街52号
小樽酿造,1,1,0,1,北海道哈密瓜
行匠,1,1,0,1,月球旅行箱 皮尔森
行空,1,1,1,1,早春
兴业,1,1,1,1,拳击手
漩涡酿造,1,1,1,1,月桂
薛定谔,1,1,0,1,苔痕
薛定谔的酒,1,1,0,1,代号猫
薛定谔的酒 x Kyoto Beer Lab,1,1,1,1,玉響
寻路者,1,1,1,1,守望者
寻蜜酿造,1,1,0,1,春日色卡
亚洲小霸王,1,1,1,1,轲斯拉大战金刚
药厂*拾捌精酿,1,1,1,1,两端 摩登西海岸IPA
野鹅微醺 x 佳卡哈,1,1,0,1,无限螺旋
一滴,1,1,1,1,浆化星球
依帕,1,1,0,1,赤屿谷道
英雄啤酒,1,1,0,1,童年回忆
硬糖,1,1,1,1,桑葚葡萄
有什酿造,1,1,1,1,酸味主义
与众严选,1,1,1,1,德式小麦
元醴,1,1,0,1,飞向山
远山啤酒 / Far Mont Beer,1,1,0,1,布里斯班淡影
云酊,1,1,1,1,阿诗玛的莓果园
云朵,1,1,0,1,融雪之前
长青工匠,1,1,1,1,范尼拉符文
智美,1,1,0,1,智美银帽
种子,1,1,0,1,起始之日
左手巨人 x 绿颊鹦鹉,1,1,1,1,橘郡
左手巨人 x Dos Kiwis,1,1,1,1,偏爱未知
Allagash,1,1,1,1,Saison
Beerhead,1,1,0,1,艾斯高巴
Bell's,1,1,1,1,Two Hearted IPA
Bissell Brothers Brewing,1,1,0,1,Lux
Cantillon,1,1,1,1,兰比克
Cascade,1,1,1,1,古斯酸啤
Chimay,1,1,1,1,修道院三料
Clag Brewing Company,1,1,1,1,Absolutely Nothing
Derive Brewery,1,1,0,1,LIMA
E.T.,1,1,1,1,迷离万象
E.T. x 和弦,1,1,1,1,好得意
Everywhere,1,1,1,1,Little Egg
Firestone Walker,1,1,1,1,805 Blonde
Founders,1,1,1,1,波特
Hoegaarden,1,1,1,1,比利时小麦
ISM Brewing,1,1,0,1,Chepedelic
Jester King,1,1,1,1,农舍艾尔
Left Hand,1,1,1,1,牛奶世涛
MOJO,1,1,0,1,沙滩小麦
Monkish,1,1,1,1,DIPA
Origin 4,1,1,0,1,Motu-Moment
Origin4,1,1,1,1,Motu-Moment
Oskar Blues,1,1,1,1,Dale's Pale Ale
Other Half,1,1,1,1,浑浊 IPA
SHRED,1,1,1,1,CINCO
Sierra Nevada,1,1,1,1,Pale Ale
Smooj,1,1,1,1,椰林飘香
SMOOJ,1,1,0,1,粉红色的夏天
Stone Brewing,1,1,1,1,西海岸 IPA
The Bruery,1,1,1,1,水果酸啤
Tree House,1,1,1,1,双倍浑浊
Trillium,1,1,1,1,新英格兰 IPA
Weihenstephan,1,1,1,1,德式小麦
