source_name,suggested_country,suggested_country_code,country_confidence,raw_country_values,drink_count,public_visible_count,sample_drink_names,note
风味屋,China,CN,medium,西安:1,3,1,万万岁|长安|胡啊柚,"source value is China region/city, not country"
火碳,Hong Kong,HK,high,香港:1,3,3,少甜少冰|港式冻柠茶,
酒花僵尸,United States,US,high,美国:1,3,1,僵尸猎鸭人|冰冰乐6号|墨西哥勇士,
酒花民族,Australia,AU,high,澳大利亚:2,3,2,灰猎犬|大红蜂|Fresh Hop,
郡区,United States,US,high,美国:1,3,1,酒花倾慕 美式淡色艾尔|梦想Rêve Coffee Stout|梦想,
狸造,China,CN,medium,北京:3,3,3,玄骥|加州海风,"source value is China region/city, not country"
美西,China,CN,medium,成都:3,3,3,金雀花|玉米诱惑,"source value is China region/city, not country"
葡月圣树,United States,US,high,美国:2,3,2,图尔帕|朝曦|禅宗科学家,
浦江半岛,,,none,,3,1,副本|月光,
三子,United States,US,high,美国:2,3,2,维京征服|松脆博伊斯|海洋公园,
善良胡夫,United States,US,high,美国:1,3,1,120美元2号|流连忘返3号|呆瓜再见,
索拉里斯,United States,US,high,美国:1,3,1,永恒之注|永恒之涯|异岛,
田园酿造,China,CN,medium,云南:1,3,1,火把梨|水蜜桃|哈巴苹果,"source value is China region/city, not country"
西澳山脊,Australia,AU,high,澳大利亚:3,3,3,混世魔王|松果天梯|鬼源物语,
小荷,China,CN,medium,合肥:2,3,2,黑羽|蜜瓜龙2.0|蜜瓜龙,"source value is China region/city, not country"
小熊贝莲,Japan,JP,high,日本:3,3,3,金标|拉格,
鸭池,,,conflict,美国:1|瑞典:1,3,2,孤注一掷|黑暗之翼|奢华冰冻池塘,multiple normalized countries; review manually
云泥,China,CN,medium,昆明:1|云南:1,3,2,浮柚|翠屿,"source value is China region/city, not country | source value is China region/city, not country"
云朴,China,CN,medium,昆明:1|云南:1,3,2,南半球漂流|融雪之前|风暴中心,"source value is China region/city, not country | source value is China region/city, not country"
云石,United Kingdom,GB,high,英国:3,3,3,伯爵茶|曼彻斯特|此即大海,
制乐厂,China,CN,medium,南京:2,3,2,青年养老院|小青龙|归,"source value is China region/city, not country"
Deadman,Hong Kong,HK,high,香港:2,3,2,酒花大盗,
Dr.Lab,,,none,,3,1,一路发达4周年|Fredrick's Violin V26|DR 凉茶,
2062&独墨,,,low,上海&石家庄:1,2,1,Nippori 日暮里|日暮里/Nippori,unmapped country value; review manually
艾尔复兴*布鲁乔司,United States,US,high,美国:2,2,2,中古小丑|暗夜医者,
艾薇儿,,,none,,2,0,松弛,
百得福,Czech Republic,CZ,high,捷克:1,2,1,皮尔森生啤|窑臧皮尔森,
班克斯,Australia,AU,high,澳大利亚:2,2,2,班克斯先生|西岸浮光,
本末特伦,United States,US,high,美国:1,2,1,劫尽|本劫,
鼻行兽,China,CN,medium,西安:1,2,2,凯库拉的鲸|燧石与板岩,"source value is China region/city, not country"
比尔斯兄弟,United States,US,high,美国:2,2,2,勒克斯|为生活干杯,
朝日,Japan,JP,high,日本:2,2,2,黑生|复活生啤,
齿轮精酿,,,none,,2,1,幸运鹅|怒饮酒花儿,
分野酿造,China,CN,medium,山东:1,2,1,绕了地球|沧龙,"source value is China region/city, not country"
风险酿造,,,none,,2,2,奇卡诺|蜜瓜梦,
疯熊工业 / Crazy Bear Industry,,,none,,2,0,啤酒实习生2603|东分影,
佛里蒙,United States,US,high,美国:1,2,1,锈钉 2024|黑星波本,
谷语者,,,none,,2,0,突袭面包店,
航标酿造,,,none,,2,0,山野拾荒者|极光觅月,
和弦,,,none,,2,1,蓝莓快车 世涛|冰镇大西瓜绿茶,
红男爵,,,none,,2,0,杏杏点灯,
洄游,,,none,,2,1,幽澜|紫露,
洄游造物,,,none,,2,0,紫露,
会饮,,,none,,2,0,山麓,
会饮酿造,China,CN,medium,北京:1,2,1,食野之苹|涌现,"source value is China region/city, not country"
或不凡,,,none,,2,0,黄河之水,
佳卡哈,,,none,,2,0,阿罗哈POG西打,
酒花农场,,,none,,2,1,山间酸,
卡布拉多,,,none,,2,0,西普西普,
科隆巴赫,Germany,DE,high,德国:1,2,1,科墨堡皮尔森|科隆巴赫皮尔森,
农舍山,United States,US,high,美国:2,2,2,弗洛伦萨|安娜,
澎湃家族,Belgium,BE,high,比利时:1,2,1,树莓兰比克|樱桃兰比克,
秦人造,,,none,,2,1,西安Summer|柑橘起源,
山丘,,,none,,2,1,萨兹公爵,
斯莫及,,,none,,2,0,皮纳科达拉|芒果,
虽吴酿造,,,none,,2,0,小花冠 墨西哥拉格|小花冠,
天使之翼,United States,US,high,美国:2,2,2,双倍拿撒勒|摩卡,
未索之境,China,CN,medium,成都:2,2,2,西西里橙|琥珀,"source value is China region/city, not country"
稳态,,,none,,2,0,螺旋|生化梦境,
乌苏,,,none,,2,0,乌苏威士忌风味|乌苏楼兰秘酿,
犀首田园,,,none,,2,1,送你一朵小红花|云边有座小卖部,
香港啤酒公司,Hong Kong,HK,high,香港:1|中国香港:1,2,2,大浪湾|冷萃马赛克,
想象中的雨,,,none,,2,1,Fever,
小回,,,none,,2,1,爆裂引擎|电气涡轮,
修订,,,none,,2,0,三重未知|翡翠湾,
以及,,,none,,2,0,潮汐热吻,
以及酿造,China,CN,medium,西安:1,2,1,打个大西瓜|狗头枣,"source value is China region/city, not country"
悠航,,,none,,2,1,此刻是吾|猴拳,
远山啤酒,,,none,,2,1,云雾之峰|莱茵淡影,
纸飞机,,,none,,2,1,洋流上下 TDH帝国浑浊IPA|临界,
左手巨人,United Kingdom,GB,high,英国:2,2,2,双城记|自在跑,
Guinness,,,none,,2,2,世涛|健力士 Guinness,
HES PER,China,CN,medium,东莞:2,2,2,松荫|夏沁,"source value is China region/city, not country"
HESPER,China,CN,medium,东莞:1,2,1,夏沁,"source value is China region/city, not country"
Liquid's Tag,China,CN,medium,上海:1,2,1,从我的吧台滚出去,"source value is China region/city, not country"
OOO:,,,none,,2,0,Powder Hound无序双板滑雪|Sweep Broom Peel无序冰壶,
SMOOJ,,,none,,2,1,粉红色的夏天|椰林飘香,
Waldhaus,,,none,,2,0,黑森林古法窖藏啤酒|黑森林金牌皮尔森啤酒,
2062,,,none,,1,0,阿温,
阿彭策尔,,,low,瑞士:1,1,1,水晶拉格（第五批）,unmapped country value; review manually
艾尔复兴*HAAS,United States,US,high,美国:1,1,1,凌镜之外,
艾根伯格,,,low,奥地利:1,1,1,窑藏博克,unmapped country value; review manually
艾英格,Germany,DE,high,德国:1,1,1,春季博克,
巴伐利亚武僧,,,none,,1,1,双料小麦博克,
半吨,,,none,,1,1,潮汕黄金,
碧特博格,,,none,,1,0,碧堡,
勃艮第女公爵,Belgium,BE,high,比利时:1,1,1,橡木桶酸,
布鲁瑞,United States,US,high,美国:1,1,1,安布拉纳闪耀,
沉降酿造,China,CN,medium,佛山:1,1,1,你喝了没,"source value is China region/city, not country"
诚实啤酒,,,none,,1,0,浪裹,
城市酿造,,,none,,1,1,十月革命,
齿轮酿造,,,none,,1,1,爆榨苹果,
赤耳*药厂,,,none,,1,1,雨落松间,
赤耳酿造,,,none,,1,0,涌,
赤峪谷盈,,,none,,1,1,依帕,
打嗝海狸,United States,US,high,美国:1,1,1,海狸万岁,
大九,,,none,,1,0,降临,
大米拉格,,,none,,1,0,大米拉格,
大师杯,,,none,,1,1,拾伍,
第三阶段,,,none,,1,0,波兰皮尔森,
独墨,,,none,,1,0,芭适,
仿猩会,,,none,,1,0,爆猩饼,
霏然,China,CN,medium,苏州:1,1,1,白玉,"source value is China region/city, not country"
费尔岛,,,none,,1,0,埃尔登,
分野,,,none,,1,0,柚子大米拉格,
分野&谷语者,,,none,,1,1,美洲豹,
分野酿造 / Quadrant Brewing,,,none,,1,0,饶了地球,
分支,United States,US,high,美国:1,1,1,妲己,
疯熊酿造,,,none,,1,0,流动,
隔壁老李,,,none,,1,0,琥珀艾尔,
锅炉,,,none,,1,1,毒蛇之握,
焊接工厂,,,none,,1,0,双倍爆汁,
航标,,,low,大连:1,1,1,极光觅月,unmapped country value; review manually
航标精酿,,,none,,1,1,山野拾荒者,
航朴精酿,,,none,,1,1,山野拾荒者,
黑森林,Germany,DE,high,德国:1,1,1,古法窖藏,
黑烟囱,United States,US,high,美国:1,1,1,文艺历史,
蝴蝶结,,,none,,1,0,米芯,
花雅酿造,,,none,,1,0,志气,
花雅酿造 / HARMO BREW,China,CN,medium,烟台:1,1,1,实验款,"source value is China region/city, not country"
坏骨头,Canada,CA,high,加拿大:1,1,1,事故报告,
幻果实验,,,none,,1,0,分形,
幻果实验室,,,none,,1,0,分形,
洄游造物 / WayfarerLab,China,CN,medium,广州:1,1,1,清涧,"source value is China region/city, not country"
健力士,,,low,爱尔兰:1,1,1,氮气世涛,unmapped country value; review manually
涧溪,,,none,,1,1,窑臧拉格,
捷克维诺,Czech Republic,CZ,high,捷克:1,1,1,炫猫,
鲸一,United States,US,high,美国:1,1,1,云中翻滚,
酒花名族,Australia,AU,high,澳大利亚:1,1,1,Fresh Hop,
酒窖师,,,none,,1,0,久别重逢,
科慕堡,,,none,,1,0,科慕堡皮尔森,
麳麰,China,CN,medium,烟台:1,1,1,文财神,"source value is China region/city, not country"
朗客,Germany,DE,high,德国:1,1,1,烟熏啤,
裂变,China,CN,medium,佛山:1,1,1,西楚超临界,"source value is China region/city, not country"
麻马麻,,,none,,1,0,古盾,
猫宁,,,none,,1,0,玫红草莓,
明日,,,none,,1,1,Come back to 2016,
酿造方程式,,,none,,1,1,断肠草,
酿造哲学,China,CN,medium,上海:1,1,1,肖邦,"source value is China region/city, not country"
牛皮堂,China,CN,medium,北京:1,1,1,菠萝包,"source value is China region/city, not country"
欧米尼珀罗 × 电厂,Sweden,SE,high,瑞典:1,1,1,炼金术大师,
欧米尼珀罗 × 僧侣,Sweden,SE,high,瑞典:1,1,1,太空之旅,
欧米尼珀罗x布鲁乔斯,Sweden,SE,high,瑞典:1,1,1,异端礼拜堂,
欧米尼珀罗X深酥,Sweden,SE,high,瑞典:1,1,1,Steal This Beer,
欧米尼珀罗X特伦,Sweden,SE,high,瑞典:1,1,1,王座的呼唤,
啤脑酿造 / Beer Head,,,none,,1,0,银苹果,
奇逸,,,none,,1,1,香草的天空,
气泡实验室,,,none,,1,0,酒花伞兵,
倾斜谷仓,,,none,,1,0,天选之子,
撒切尔,United Kingdom,GB,high,英国:1,1,1,金苹果,
塞拉多艾尔,,,none,,1,0,豪华赛松,
三宝乐,,,none,,1,0,惠比寿全麦,
三得利,,,none,,1,0,万志,
三子酿造,United States,US,high,美国:1,1,1,维京征服,
叁酉,,,none,,1,1,最佳状态,
山乘,,,none,,1,0,自然呼唤,
山乘酿造,,,none,,1,0,辅助奶两口,
山雀 x Bob x ORIGIN4,China,CN,medium,上海:1,1,1,海德公园,"source value is China region/city, not country"
山雀 x Good Good,China,CN,medium,上海:1,1,1,扭扭舞,"source value is China region/city, not country"
山雀 x ORIGIN4,China,CN,medium,上海:1,1,1,乳酸阈值,"source value is China region/city, not country"
十八酿造,,,none,,1,0,双倍跳东湖,
拾捌精酿,,,none,,1,0,布蓝泥 思慕雪果酒,
拾伍,,,none,,1,0,大师杯（十五周年限定）,
双尾酿造 / Twin Tails,,,none,,1,0,朦胧之吻,
双尾酿造/Twin Tails,China,CN,medium,苏州:1,1,1,失重-鲜酒花,"source value is China region/city, not country"
水猴子,,,none,,1,1,胡椒蛮缠,
斯莫吉,United States,US,high,美国:1,1,1,粉红夏日,
酸羽,,,none,,1,0,机械神明,
酸羽酿造,,,low,无锡:1,1,1,原始恩赐,unmapped country value; review manually
虽吾酿造,,,none,,1,0,飞越云海,
虽吾酿造 / SUIWU,,,none,,1,0,凤尾果香,
碎片,,,none,,1,0,惊魂记,
索拉里斯 × 北方公园,United States,US,high,美国:1,1,1,云端一线,
特纳亚溪,,,none,,1,0,胡夫水坝,
头脑冷静,,,none,,1,0,和平奏鸣曲,
头脑冷静&敌意&凡人,,,none,,1,0,计划四个秘密,
蜕变,,,none,,1,0,路特斯运行原理,
旺达Wondrous,,,none,,1,1,Raveyard,
旺达Wondrous•Raveyard,,,none,,1,1,Raveyard,
五岔街,United Kingdom,GB,high,英国:1,1,1,皮尔森,
勿幕酿造 / WUMU Brewery,,,none,,1,0,冰川,
小发发,,,none,,1,1,溺海之柚,
小回酿造,,,low,长春:1,1,1,施坦格,unmapped country value; review manually
小回酿造 / Turn Right Brewing,,,none,,1,0,阿努尔夫街52号,
小樽酿造,,,none,,1,0,北海道哈密瓜,
行匠,,,none,,1,0,月球旅行箱 皮尔森,
行空,,,low,青岛:1,1,1,早春,unmapped country value; review manually
兴业,United States,US,high,美国:1,1,1,拳击手,
漩涡酿造,,,low,中山:1,1,1,月桂,unmapped country value; review manually
薛定谔,,,none,,1,0,苔痕,
薛定谔的酒,,,none,,1,0,代号猫,
薛定谔的酒 x Kyoto Beer Lab,,,low,佛山x京都:1,1,1,玉響,collaboration/multiple origin string; preserve raw only
寻路者,United States,US,high,美国:1,1,1,守望者,
寻蜜酿造,,,none,,1,0,春日色卡,
亚洲小霸王,United States,US,high,美国:1,1,1,轲斯拉大战金刚,
药厂*拾捌精酿,,,none,,1,1,两端 摩登西海岸IPA,
野鹅微醺 x 佳卡哈,,,none,,1,0,无限螺旋,
一滴,New Zealand,NZ,high,新西兰:1,1,1,浆化星球,
依帕,,,none,,1,0,赤屿谷道,
英雄啤酒,,,none,,1,0,童年回忆,
硬糖,,,none,,1,1,桑葚葡萄,
有什酿造,,,none,,1,1,酸味主义,
与众严选,,,none,,1,1,德式小麦,
元醴,,,none,,1,0,飞向山,
远山啤酒 / Far Mont Beer,,,none,,1,0,布里斯班淡影,
云酊,China,CN,medium,云南:1,1,1,阿诗玛的莓果园,"source value is China region/city, not country"
云朵,,,none,,1,0,融雪之前,
长青工匠,,,none,,1,1,范尼拉符文,
智美,,,none,,1,0,智美银帽,
种子,,,none,,1,0,起始之日,
左手巨人 x 绿颊鹦鹉,,,low,英国x美国:1,1,1,橘郡,collaboration/multiple origin string; preserve raw only
左手巨人 x Dos Kiwis,,,low,英国x西班牙:1,1,1,偏爱未知,collaboration/multiple origin string; preserve raw only
Allagash,,,none,,1,1,Saison,
Beerhead,,,none,,1,0,艾斯高巴,
Bell's,,,none,,1,1,Two Hearted IPA,
Bissell Brothers Brewing,,,none,,1,0,Lux,
Cantillon,,,none,,1,1,兰比克,
Cascade,,,none,,1,1,古斯酸啤,
Chimay,,,none,,1,1,修道院三料,
CLAG,United States,US,high,美国:1,1,1,轲斯拉大战金刚,
Clag Brewing Company,United States,US,high,美国:1,1,1,Absolutely Nothing,
Derive Brewery,,,none,,1,0,LIMA,
E.T.,,,none,,1,1,迷离万象,
E.T. x 和弦,,,none,,1,1,好得意,
Everywhere,United States,US,high,美国:1,1,1,Little Egg,
Firestone Walker,,,none,,1,1,805 Blonde,
Founders,,,none,,1,1,波特,
Hoegaarden,,,none,,1,1,比利时小麦,
ISM Brewing,,,none,,1,0,Chepedelic,
Jester King,,,none,,1,1,农舍艾尔,
Left Hand,,,none,,1,1,牛奶世涛,
MOJO,,,none,,1,0,沙滩小麦,
Monkish,,,none,,1,1,DIPA,
Origin 4,,,none,,1,0,Motu-Moment,
Origin4,China,CN,medium,上海:1,1,1,Motu-Moment,"source value is China region/city, not country"
Oskar Blues,,,none,,1,1,Dale's Pale Ale,
Other Half,,,none,,1,1,浑浊 IPA,
SHRED,United States,US,high,美国:1,1,1,CINCO,
Sierra Nevada,,,none,,1,1,Pale Ale,
Stone Brewing,,,none,,1,1,西海岸 IPA,
The Bruery,,,none,,1,1,水果酸啤,
Tree House,,,none,,1,1,双倍浑浊,
Trillium,,,none,,1,1,新英格兰 IPA,
Weihenstephan,,,none,,1,1,德式小麦,
