source_name,canonical_group,verified_name_zh,verified_name_en,verified_city,verified_country,country_code,city_country,verified_entity_type,verification_status,confidence,uncertainty_flag,operational_status,verification_note,source_urls,verified_at,original_candidate_zh,original_candidate_en,original_suggested_country,raw_country_values,drink_count,public_visible_count,sample_drink_names,original_review_note
哈德逊河谷,哈德逊河谷,哈德逊河谷,Hudson Valley Brewery,,美国,US,美国,brewery_brand,verified,high,city_unverified,,审核确认 Hudson Valley；城市暂空。,,2026-07-23,哈德逊河谷,Hudson Valley Brewery,United States,美国:2,8,2,游隼|河谷2024|杂散光|河谷|动物气球|剪影桃|巴比伦|潜行故障,audit_2026-07-23_approved
TAPSTAR,TAPSTAR,TAPSTAR,TAPSTAR,贵阳,中国,CN,贵阳（中国）,brewery_brand,verified,medium,,,公开资料确认贵阳自酿品牌/酒吧；未发现稳定的正式中文名。,https://m.36kr.com/p/3739743839879433 | https://www.xiaoyuzhoufm.com/episode/6684d2a953526fced0316cc3,2026-07-01,,TAPSTAR,,贵阳:1,8,3,有限社交|北极星|有限社交 美式淡色艾尔|北极星 浑浊IPA|老伙计 西海岸IPA|凉拖拖 青柠皮尔斯|鸵鸟的牙,
凯西,凯西,凯西,Casey Brewing & Blending,"Glenwood Springs, Colorado",美国,US,"Glenwood Springs, Colorado（美国）",brewery_brand,verified,high,,,,https://caseybrewing.com/,2026-07-01,凯西,Casey Brewing & Blending,United States,美国:4,7,5,精明强干|幸运|焦点二号|原始灵魂示意|范尼拉瑰红1号,
洛莱,洛莱,洛莱,Lolev Beer,"Pittsburgh, Pennsylvania",美国,US,"Pittsburgh, Pennsylvania（美国）",brewery_brand,corrected,high,,,样例 Hyena、Jaguar、Arcole、Rubicon 等均与 Lolev Beer 对应。,https://lolev.beer/beer/hyena | https://www.beermenus.com/breweries/34105-lolev-beer,2026-07-01,洛莱,,United States,美国:2,7,2,鬣狗|美洲豹|阿尔克斯|解药|阿尔科莱|卢比孔3|雄鹰,English name not found safely; fill from checked mapping or official source
山雀,山雀,山雀,,上海,中国,CN,上海（中国）,brewery_brand,partially_verified,low,partially_verified | english_unverified,,仅能由原始酒款与本地信息确认中文品牌和城市；未找到足够可靠的公开英文名，Mountain Finch 不写入验证值。,,2026-07-01,山雀,Mountain Finch,China,上海:4|上海嘉定:3,7,7,旋转木马|攀石|不误正夜|重逢|老炮|复仇之怒|祁门晨雾,
虽吾,虽吾酿造,虽吾酿造,SUIWU BREWING,扬州,中国,CN,扬州（中国）,brewery_brand,corrected,high,,,公开官方页面明确写明来自江苏扬州；“虽吴”为错别字。,https://untappd.com/Suiwu_jennifer,2026-07-01,虽吾,Suiwu,China,苏州:2|扬州:2,7,4,小花冠|飞越云海|金狼之舞|日出茶山|果浪澳游,
疯熊,疯熊工业,疯熊工业,Crazy Bear Industries,东莞,中国,CN,东莞（中国）,brewery_brand,verified,high,,,品牌起源于广州海珠，2023 年自有酒厂建于东莞；城市按当前酒厂所在地填写。,https://crazybearindustry.com/,2026-07-01,疯熊,Crazy Bear,China,广州:1,6,1,啤酒实习生2603|实习生2603|流动|梦|轻硫醇皮尔森,
狐朋酿造,狐朋酿造,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,狐朋酿造,Hupeng Brewing,,,6,0,鸡有鸡味|莓好前程|海边驿站|马上有桔|酒花英雄|后花园的混合黄皮,
辉光,辉光,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,辉光,Glow Brewing,United States,美国:2,6,2,醉佳|白日梦|全场最佳|古龙水|白板,
回头客,回头客,回头客,Frequentem Brewing,"Canandaigua, New York",美国,US,"Canandaigua, New York（美国）",brewery_brand,corrected,high,,,样例 Canandaigua Premium Lager 与 Frequentem 官方酒单对应。,https://frequentembrewing.com/taplist/ | https://www.beeradvocate.com/beer/profile/60004/,2026-07-01,回头客,Returning Guest,United States,美国:2,6,2,果味满满19号|果味满满|卡南代瓜优质拉格|新英格兰99号|德式皮尔森,
撬啤酿造,撬啤酿造,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,撬啤酿造,Qiao Beer Brewing,,,6,6,内个周五十一点半有个哥们进来就吐两个小时，吐了四次吐得很准非常感谢|水库浪子 桔柚π|卡拉斯科|Naive|水库浪子|风戏水,
僧侣,僧侣,僧侣,Monkish Brewing,Torrance,美国,US,Torrance（美国）,brewery_brand,verified,high,,,按主酒厂所在地填写。,https://www.monkishbrewing.com/,2026-07-01,僧侣,Monk Brewing,United States,美国:2,6,3,Kid Casino|笔触|洛城之花|依旧交通粘性|背包|雾窗,
野鹅微醺,野鹅微醺,野鹅微醺,YE BREWING,石家庄,中国,CN,石家庄（中国）,brewery_brand,verified,high,,,,https://www.yebrewing.com/,2026-07-01,野鹅微醺,Wild Goose Tipsy,,,6,0,富贵榴|朝花三倍干头浑浊IPA|陈皮的旅行|南境之花NZ-105|无限螺旋|南境之花,
赤耳酿造,赤耳酿造,赤耳酿造,REDEARS BREWING,北京,中国,CN,北京（中国）,brewery_brand,verified,high,,,,https://www.bjbrew.com/exDetail.aspx?exid=98,2026-07-01,赤耳,,China,北京:1,5,2,黄米拉格|西瓜商店|阳光洒肩头|普通的一天|青芒果芭乐,English name not found safely; fill from checked mapping or official source
另一半,另一半,另一半,Other Half Brewing,"Brooklyn, New York City",美国,US,"Brooklyn, New York City（美国）",brewery_brand,verified,high,,,城市按品牌创立地及主要纽约酒厂填写。,https://otherhalfbrewing.com/,2026-07-01,另一半,,United States,美国:3,5,3,番茄工厂|另一半12周年|速溶绿色|旋涡3号|小小4周年,English name not found safely; fill from checked mapping or official source
矛盾体,矛盾体,矛盾体,Halfway Crooks Beer,"Atlanta, Georgia",美国,US,"Atlanta, Georgia（美国）",brewery_brand,corrected,high,,,审核纠正：矛盾体=Halfway Crooks（佐治亚），不是 Equilibrium。,https://halfwaycrooks.beer/,2026-07-23,,,,美国:1,5,1,亚特兰大出口|基数|法里纳|命令行编译|弧度,audit_2026-07-23_approved
欧米尼珀罗,欧米尼珀罗,欧米尼珀罗,Omnipollo,Stockholm,瑞典,SE,Stockholm（瑞典）,brewery_brand,verified,high,,,,https://omnipollo.com/,2026-07-01,欧米尼珀罗,Omnipollo,Sweden,瑞典:2,5,2,史蒂夫之斧|3乘3七号|笑脸|不二之选,
虽吴,虽吾酿造,虽吾酿造,SUIWU BREWING,扬州,中国,CN,扬州（中国）,brewery_brand,corrected,high,,,公开官方页面明确写明来自江苏扬州；“虽吴”为错别字。,https://untappd.com/Suiwu_jennifer,2026-07-01,虽吴,,China,苏州:1,5,1,小花冠|凤尾果香|金狼之舞,English name not found safely; fill from checked mapping or official source
野鹅,野鹅微醺,野鹅微醺,YE BREWING,石家庄,中国,CN,石家庄（中国）,brewery_brand,verified,high,,,,https://www.yebrewing.com/,2026-07-01,野鹅,,,石家庄:1,5,2,夜莺|无限螺旋|南境之花|桃林漫步,English name not found safely; fill from checked mapping or official source
远山,远山啤酒,远山啤酒,Far Mont Beer,,中国,CN,（中国）,brewery_brand,partially_verified,medium,partially_verified | city_unverified,,中文、英文及国家可确认；城市没有可靠公开来源，留空。,https://untappd.com/w/far-mont-beer-e-a-a-e/599657,2026-07-01,远山,,,,5,1,瓦哈卡日出|阿尔派恩淡影|阿尔卑斯|布里斯班淡影,English name not found safely; fill from checked mapping or official source
半颠,半颠,半颠精酿,So Mad,桂林,中国,CN,桂林（中国）,brewery_brand,verified,medium,,,,https://untappd.com/w/so-mad/392781,2026-07-01,半颠,,,,4,2,余光未尽 皮尔森|暮光犹存|生龙活虎|伦敦啸叫,English name not found safely; fill from checked mapping or official source
彼岸,彼岸酿造,彼岸酿造,The Other Shore,乐山,中国,CN,乐山（中国）,brewery_brand,verified,medium,,,英文名由酒款/酒厂页面交叉确认。,https://untappd.com/b/the-other-shore/6689038,2026-07-01,彼岸,,,,4,1,老城琥珀|望梅止渴|夜曲|爱因斯坦的数数学成绩单,English name not found safely; fill from checked mapping or official source
费登斯,费登斯,费登斯,Fidens Brewing,"Albany, New York",美国,US,"Albany, New York（美国）",brewery_brand,verified,high,,,,https://fidensbrewing.com/,2026-07-01,费登斯,,United States,美国:2,4,2,精益求精|元素的艺术|海冬|桃桃农夫,English name not found safely; fill from checked mapping or official source
裂变酿造,裂变酿造,裂变酿造,Fission Brewing,佛山,中国,CN,佛山（中国）,brewery_brand,verified,medium,,,,https://untappd.com/Fission_Brewing_Company,2026-07-01,裂变酿造,,China,佛山:1,4,1,星云甘露|Nebula Nectar|春季拉格|眩目,English name not found safely; fill from checked mapping or official source
蔓延酿造,蔓延酿造,蔓延酿造,Derive Brewery,武汉,中国,CN,武汉（中国）,brewery_brand,corrected,high,,,原表 MANYAN Brewing 未获支持；公开资料使用 Derive Brewery。与美国 Derive Brewing Company 不是同一实体。,https://www.bjbrew.com/exDetail.aspx?exid=369 | https://untappd.com/DeriveBrewery,2026-07-01,蔓延酿造,,China,武汉:2,4,2,辛香农舍|辛青农舍|北地显影|立方,English name not found safely; fill from checked mapping or official source
闪电萨拉玛,闪电萨拉玛,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,闪电萨拉玛,,,,4,0,低档狂飙|头脑风暴|幻境拉拉|芭比之殇,English name not found safely; fill from checked mapping or official source
生命长河,生命长河,生命长河,Long Live Beerworks,"Providence, Rhode Island",美国,US,"Providence, Rhode Island（美国）",brewery_brand,verified,medium,,,由 All Seeing Eye 等样例酒款确认。,https://longlivebeerworks.com/,2026-07-01,生命长河,,United States,美国:2,4,2,全视之眼|纪念日10|双重黑喵,English name not found safely; fill from checked mapping or official source
无毛用,无毛用,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,无毛用,,China,广州:2,4,3,岁寒 柏木酒酸|岁寒|阿佳|空行母,English name not found safely; fill from checked mapping or official source
云朴精酿,云朴精酿,云朴精酿,YunPure Brewing,昆明,中国,CN,昆明（中国）,brewery_brand,corrected,high,,,“云朵”为疑似录入/OCR 错误。,https://www.gokunming.com/cn/listings/item/34312/yunpure-brewery,2026-07-01,云朴精酿,Yunpu Craft,China,昆明:1,4,1,风暴中心 金桔芒果酸|今日与春风相会,
百威,百威,百威,Budweiser,,,,,test_data,data_issue,high,data_issue | city_unverified | country_unverified,,样例均为“测试/测试2/测试99”，建议作为测试数据处理，不据此填写城市国家。,,2026-07-01,百威,,,,3,0,测试|测试2|测试99,English name not found safely; fill from checked mapping or official source
凡人,凡人,凡人,Mortalis Brewing Company,"Avon, New York",美国,US,"Avon, New York（美国）",brewery_brand,verified,high,,,"审核确认 Avon, NY；英文全称 Mortalis Brewing Company。",https://www.mortalisbrewing.com/,2026-07-23,凡人,,United States,美国:1,3,1,飞履|配瑟芬|苍穹之神,audit_2026-07-23_approved
酒花民族,酒花民族,酒花民族,Hop Nation Brewing,"Footscray, Melbourne",澳大利亚,AU,"Footscray, Melbourne（澳大利亚）",brewery_brand,verified,medium,,,中文市场名由同款酒对应关系确认；“酒花名族”为错别字。,https://untappd.com/b/hop-nation-brewing-co-2026-fresh-hop-chop-ipa/6640918 | https://hopnation.com.au/,2026-07-01,酒花民族,,Australia,澳大利亚:2,3,2,灰猎犬|大红蜂|Fresh Hop,English name not found safely; fill from checked mapping or official source
郡区,郡区,郡区,Parish Brewing,"Broussard, Louisiana",美国,US,"Broussard, Louisiana（美国）",brewery_brand,corrected,high,,,样例 Rêve Coffee Stout 明确属于 Parish Brewing；原中文“郡区”疑似把 Parish 直译为行政区。,https://parishbeer.com/beer/reve/,2026-07-01,郡区,,United States,美国:1,3,1,酒花倾慕 美式淡色艾尔|梦想Rêve Coffee Stout|梦想,English name not found safely; fill from checked mapping or official source
狸造,狸造,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,狸造,,China,北京:3,3,3,玄骥|加州海风,English name not found safely; fill from checked mapping or official source
美西,美西,美西啤酒,Wild West Brewing,成都,中国,CN,成都（中国）,brewery_brand,verified,medium,,,,https://www.wildwestbrewing.cn/,2026-07-01,美西,,China,成都:3,3,3,金雀花|玉米诱惑,English name not found safely; fill from checked mapping or official source
葡月圣树,葡月圣树,葡月圣树,Lua Brewing,"Des Moines, Iowa",美国,US,"Des Moines, Iowa（美国）",brewery_brand,corrected,high,,,Tulpa、Zen Scientist 等样例与 Lua Brewing 官方酒单一致。,https://luabeer.com/des-moines-sherman-hill-lua-brewing-drink-menu | https://untappd.com/LuaBrewing/beer,2026-07-01,葡月圣树,,United States,美国:2,3,2,图尔帕|朝曦|禅宗科学家,English name not found safely; fill from checked mapping or official source
浦江半岛,浦江半岛,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,浦江半岛,,,,3,1,副本|月光,English name not found safely; fill from checked mapping or official source
三子,三子酿造,三子酿造,3 Sons Brewing,"Dania Beach, Florida",美国,US,"Dania Beach, Florida（美国）",brewery_brand,verified,high,,,,https://www.3sonsbrewingco.com/,2026-07-01,三子,,United States,美国:2,3,2,维京征服|松脆博伊斯|海洋公园,English name not found safely; fill from checked mapping or official source
善良胡夫,善良胡夫,善良胡夫,Humble Forager Brewery,"Waunakee, Wisconsin",美国,US,"Waunakee, Wisconsin（美国）",brewery_brand,verified,medium,,,中文名为中国市场常用译名。,https://www.humbleforagerbrewery.com/,2026-07-01,善良胡夫,,United States,美国:1,3,1,120美元2号|流连忘返3号|呆瓜再见,English name not found safely; fill from checked mapping or official source
索拉里斯,索拉里斯,索拉里斯,Solaris Beer & Blending,"Murrieta, California",美国,US,"Murrieta, California（美国）",brewery_brand,verified,high,,,,https://solarisbeer.com/,2026-07-01,索拉里斯,,United States,美国:1,3,1,永恒之注|永恒之涯|异岛,English name not found safely; fill from checked mapping or official source
田园酿造,田园酿造,田园酿造,FARMentation,云南,中国,CN,云南（中国）,other,partially_verified,medium,city_unverified,,云南农业发酵项目；具体城市待确认。,,2026-07-23,田园酿造,,China,云南:1,3,1,火把梨|水蜜桃|哈巴苹果,audit_2026-07-23_approved
西澳山脊,西澳山脊,西澳山脊,Rocky Ridge Brewing,"Jindong, Western Australia",澳大利亚,AU,"Jindong, Western Australia（澳大利亚）",brewery_brand,verified,medium,,,由样例酒款与官方产品对应确认。,https://rockyridgebrewing.com.au/,2026-07-01,西澳山脊,,Australia,澳大利亚:3,3,3,混世魔王|松果天梯|鬼源物语,English name not found safely; fill from checked mapping or official source
鸭池,鸭池,鸭池,Duckpond Brewing,Gothenburg,瑞典,SE,Gothenburg（瑞典）,brewery_brand,corrected,high,,,原数据同时出现美国/瑞典；公开资料支持瑞典哥德堡。,https://www.instagram.com/duckpondbrewing/ | https://untappd.com/DuckpondBrewing,2026-07-01,鸭池,Duckpond,,美国:1|瑞典:1,3,2,孤注一掷|黑暗之翼|奢华冰冻池塘,
云朴,云朴精酿,云朴精酿,YunPure Brewing,昆明,中国,CN,昆明（中国）,brewery_brand,corrected,high,,,“云朵”为疑似录入/OCR 错误。,https://www.gokunming.com/cn/listings/item/34312/yunpure-brewery,2026-07-01,云朴,Yunpu,China,昆明:1|云南:1,3,2,南半球漂流|融雪之前|风暴中心,
Deadman,Deadman,,Deadman Brewery,Hong Kong,中国香港,HK,Hong Kong（中国香港）,brewery_brand,verified,medium,,,,https://untappd.com/DeadManBrewery,2026-07-01,,Deadman,Hong Kong,香港:2,3,2,酒花大盗,
百得福,百得福,百得福,Budweiser Budvar Brewery,České Budějovice,捷克,CZ,České Budějovice（捷克）,brewery_brand,verified,high,,,,https://budweiserbudvar.com/brewery/ | https://www.budejovickybudvar.cz/en/home,2026-07-01,百得福,,Czech Republic,捷克:1,2,1,皮尔森生啤|窑臧皮尔森,English name not found safely; fill from checked mapping or official source
班克斯,班克斯,班克斯,Banks Brewing,"Seaford, Victoria",澳大利亚,AU,"Seaford, Victoria（澳大利亚）",brewery_brand,verified,medium,,,,https://www.banksbrewing.com.au/,2026-07-01,班克斯,,Australia,澳大利亚:2,2,2,班克斯先生|西岸浮光,English name not found safely; fill from checked mapping or official source
鼻行兽,鼻行兽,鼻行兽,Oozlefinch Beers & Blending,"Hampton, Virginia",美国,US,"Hampton, Virginia（美国）",brewery_brand,verified,medium,,,由样例酒款及品牌匹配确认。,https://oozlefinchbeers.com/,2026-07-01,鼻行兽,,China,西安:1,2,2,凯库拉的鲸|燧石与板岩,English name not found safely; fill from checked mapping or official source
比尔斯兄弟,比尔斯兄弟,比尔斯兄弟,Bissell Brothers Brewing,"Portland, Maine",美国,US,"Portland, Maine（美国）",brewery_brand,verified,high,,,,https://bissellbrothers.com/,2026-07-01,比尔斯兄弟,,United States,美国:2,2,2,勒克斯|为生活干杯,English name not found safely; fill from checked mapping or official source
朝日,朝日,朝日,Asahi,东京,日本,JP,东京（日本）,brewery_brand,verified,high,,,城市按公司总部填写。,https://www.asahibeer.co.jp/aboutus/summary/,2026-07-01,朝日,,Japan,日本:2,2,2,黑生|复活生啤,English name not found safely; fill from checked mapping or official source
齿轮精酿,齿轮酿造,齿轮精酿,Gear Craft Brewing,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,齿轮精酿,,,,2,1,幸运鹅|怒饮酒花儿,English name not found safely; fill from checked mapping or official source
分野酿造,分野酿造,分野酿造,Quadrant Brewing,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,分野酿造,,China,山东:1,2,1,绕了地球|沧龙,English name not found safely; fill from checked mapping or official source
风险酿造,风险酿造,风险酿造,Venture Brewing,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,风险酿造,,,,2,2,奇卡诺|蜜瓜梦,English name not found safely; fill from checked mapping or official source
疯熊工业,疯熊工业,疯熊工业,Crazy Bear Industries,东莞,中国,CN,东莞（中国）,brewery_brand,verified,high,,,品牌起源于广州海珠，2023 年自有酒厂建于东莞；城市按当前酒厂所在地填写。,https://crazybearindustry.com/,2026-07-01,疯熊工业 / Crazy Bear Industry,Crazy Bear Industry,,,2,0,啤酒实习生2603|东分影,
佛里蒙,佛里蒙,佛里蒙,Fremont Brewing,"Seattle, Washington",美国,US,"Seattle, Washington（美国）",brewery_brand,verified,high,,,,https://www.fremontbrewing.com/contact-us,2026-07-01,佛里蒙,,United States,美国:1,2,1,锈钉 2024|黑星波本,English name not found safely; fill from checked mapping or official source
谷语者,谷语者,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,谷语者,,,,2,0,突袭面包店,English name not found safely; fill from checked mapping or official source
航标酿造,航标酿造,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,航标酿造,,,,2,0,山野拾荒者|极光觅月,English name not found safely; fill from checked mapping or official source
和弦,和弦,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,和弦,,,,2,1,蓝莓快车 世涛|冰镇大西瓜绿茶,English name not found safely; fill from checked mapping or official source
红男爵,红男爵,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,红男爵,,,,2,0,杏杏点灯,English name not found safely; fill from checked mapping or official source
洄游造物,,洄游造物,WayfarerLab,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,洄游造物,,,,2,0,紫露,English name not found safely; fill from checked mapping or official source
会饮酿造,会饮酿造,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,会饮酿造,,China,北京:1,2,1,食野之苹|涌现,English name not found safely; fill from checked mapping or official source
佳卡哈,佳卡哈,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,佳卡哈,,,,2,0,阿罗哈POG西打,English name not found safely; fill from checked mapping or official source
酒花农场,酒花农场,酒花农场,Hops Farm,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,酒花农场,,,,2,1,山间酸,English name not found safely; fill from checked mapping or official source
农舍山,农舍山,农舍山,Hill Farmstead Brewery,"Greensboro Bend, Vermont",美国,US,"Greensboro Bend, Vermont（美国）",brewery_brand,verified,high,,,,https://hillfarmstead.com/visit-us/,2026-07-01,农舍山,,United States,美国:2,2,2,弗洛伦萨|安娜,English name not found safely; fill from checked mapping or official source
澎湃家族,澎湃家族,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,澎湃家族,,Belgium,比利时:1,2,1,树莓兰比克|樱桃兰比克,English name not found safely; fill from checked mapping or official source
斯莫及,斯莫吉,斯莫吉,Smooj,"Ann Arbor, Michigan",美国,US,"Ann Arbor, Michigan（美国）",brewery_brand,verified,medium,,,“斯莫及/斯莫吉”均为音译；英文 Smooj 最可靠。,https://www.drinksmooj.com/ | https://untappd.com/troobado/beer,2026-07-01,斯莫及,,,,2,0,皮纳科达拉|芒果,English name not found safely; fill from checked mapping or official source
虽吴酿造,虽吾酿造,虽吾酿造,SUIWU BREWING,扬州,中国,CN,扬州（中国）,brewery_brand,corrected,high,,,公开官方页面明确写明来自江苏扬州；“虽吴”为错别字。,https://untappd.com/Suiwu_jennifer,2026-07-01,虽吴酿造,,,,2,0,小花冠 墨西哥拉格|小花冠,English name not found safely; fill from checked mapping or official source
